Type-Aware?,Library,InFunction,name,line,column,IsFromParameter,HasTypeInfo,InferredType,TypeHint,DocString,MissingTypesOnPath,TypeOutsideOfPackage,Decrease,Increase,FoundType
Yes,safeds,safeds.config._device._get_device.5.0,is_available,6,35,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.config._device._get_device.5.0,device,6,66,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,safeds,safeds.config._device._get_device.5.0,device,6,11,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.from_file.46.4,Image,62,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.from_file.46.4,_pil_to_tensor,62,34,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.from_file.46.4,pil_image_open,62,55,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.from_bytes.65.4,filterwarnings,82,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.from_bytes.65.4,frombuffer,86,27,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.from_bytes.65.4,catch_warnings,81,13,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.from_bytes.65.4,Image,87,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.from_bytes.65.4,decode_image,87,34,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.__init__.89.4,to,90,37,Yes,Yes,Yes,Yes,Yes,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.__eq__.92.4,isinstance,105,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.__eq__.92.4,size,108,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.__eq__.92.4,size,108,41,Yes,Yes,Yes,Yes,Yes,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.__eq__.92.4,item,109,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.__eq__.92.4,all,109,16,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.__eq__.92.4,eq,109,26,No,Yes,Yes,No,No,No,No,-0,+0,[]
