Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,safeds,No,safeds.data.image.containers._image.from_file.46.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.938780
No,safeds,No,safeds.data.image.containers._image.from_bytes.65.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-02 12:06:11.940284
No,safeds,No,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-03-02 12:06:11.941284
No,safeds,No,safeds.data.image.containers._image.__eq__.92.4,9,9,6,1,2,1.0,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.943434
No,safeds,No,safeds.data.image.containers._image.__sizeof__.112.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-02 12:06:11.943434
No,safeds,No,safeds.data.image.containers._image._repr_jpeg_.122.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.944434
No,safeds,No,safeds.data.image.containers._image._repr_png_.143.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.945432
No,safeds,No,safeds.data.image.containers._image._set_device.160.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.946431
No,safeds,No,safeds.data.image.containers._image.width.176.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-02 12:06:11.947430
No,safeds,No,safeds.data.image.containers._image.height.188.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-02 12:06:11.947430
No,safeds,No,safeds.data.image.containers._image.channel.200.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-02 12:06:11.948790
No,safeds,No,safeds.data.image.containers._image.device.212.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-02 12:06:11.949789
No,safeds,No,safeds.data.image.containers._image.to_jpeg_file.227.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-02 12:06:11.950788
No,safeds,No,safeds.data.image.containers._image.to_png_file.244.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-02 12:06:11.951788
No,safeds,No,safeds.data.image.containers._image.resize.263.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.952786
No,safeds,No,safeds.data.image.containers._image.convert_to_grayscale.279.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.953785
No,safeds,No,safeds.data.image.containers._image.crop.301.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.953901
No,safeds,No,safeds.data.image.containers._image.flip_vertically.321.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.954901
No,safeds,No,safeds.data.image.containers._image.flip_horizontally.334.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-02 12:06:11.955900
No,safeds,No,safeds.data.image.containers._image.adjust_brightness.347.4,9,8,8,0,1,0.8888888888888888,0.8888888888888888,Impure,Impure,2025-03-02 12:06:11.957897
No,safeds,No,safeds.data.image.containers._image.add_noise.391.4,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-03-02 12:06:11.957897
No,safeds,No,safeds.data.image.containers._image.adjust_contrast.419.4,9,8,8,0,1,0.8888888888888888,0.8888888888888888,Impure,Impure,2025-03-02 12:06:11.958986
No,safeds,No,safeds.data.image.containers._image.adjust_color_balance.462.4,12,11,10,0,2,0.9166666666666666,0.8333333333333334,Impure,Impure,2025-03-02 12:06:11.959985
