Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,safeds,No,safeds.data.image.containers._image.from_file.46.4,5,4,3,2,0.8,0.6,Impure,Impure,2025-01-13 22:31:16.765975
No,safeds,No,safeds.data.image.containers._image.from_bytes.65.4,5,4,3,2,0.8,0.6,Impure,Impure,2025-01-13 22:31:16.770089
No,safeds,No,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0.0,1.0,Impure,Pure,2025-01-13 22:31:16.771130
No,safeds,No,safeds.data.image.containers._image.__eq__.92.4,10,9,6,3,0.9,0.6,Impure,Impure,2025-01-13 22:31:16.772106
No,safeds,No,safeds.data.image.containers._image.__sizeof__.112.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-13 22:31:16.773147
No,safeds,No,safeds.data.image.containers._image._repr_jpeg_.122.4,3,2,2,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-13 22:31:16.773147
No,safeds,No,safeds.data.image.containers._image._repr_png_.143.4,3,2,2,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-13 22:31:16.774318
No,safeds,No,safeds.data.image.containers._image._set_device.160.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.774318
No,safeds,No,safeds.data.image.containers._image.width.176.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-13 22:31:16.775330
No,safeds,No,safeds.data.image.containers._image.height.188.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-13 22:31:16.775330
No,safeds,No,safeds.data.image.containers._image.channel.200.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-13 22:31:16.776534
No,safeds,No,safeds.data.image.containers._image.device.212.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-13 22:31:16.776534
No,safeds,No,safeds.data.image.containers._image.to_jpeg_file.227.4,6,5,3,3,0.8333333333333334,0.5,Impure,Impure,2025-01-13 22:31:16.777735
No,safeds,No,safeds.data.image.containers._image.to_png_file.244.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-13 22:31:16.777735
No,safeds,No,safeds.data.image.containers._image.resize.263.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.778900
No,safeds,No,safeds.data.image.containers._image.convert_to_grayscale.279.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.778900
No,safeds,No,safeds.data.image.containers._image.crop.301.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.780005
No,safeds,No,safeds.data.image.containers._image.flip_vertically.321.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.781039
No,safeds,No,safeds.data.image.containers._image.flip_horizontally.334.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.781039
No,safeds,No,safeds.data.image.containers._image.adjust_brightness.347.4,26,25,16,6,0.9615384615384616,0.6153846153846154,Impure,Impure,2025-01-13 22:31:16.782097
No,safeds,No,safeds.data.image.containers._image.add_noise.391.4,24,23,14,6,0.9583333333333334,0.5833333333333334,Impure,Impure,2025-01-13 22:31:16.782097
No,safeds,No,safeds.data.image.containers._image.adjust_contrast.419.4,26,25,16,6,0.9615384615384616,0.6153846153846154,Impure,Impure,2025-01-13 22:31:16.783401
No,safeds,No,safeds.data.image.containers._image.adjust_color_balance.462.4,30,29,18,6,0.9666666666666667,0.6,Impure,Impure,2025-01-13 22:31:16.784443
No,safeds,No,safeds.data.image.containers._image.blur.500.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.785531
No,safeds,No,safeds.data.image.containers._image.sharpen.519.4,26,25,16,6,0.9615384615384616,0.6153846153846154,Impure,Impure,2025-01-13 22:31:16.786537
No,safeds,No,safeds.data.image.containers._image.invert_colors.562.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.787547
No,safeds,No,safeds.data.image.containers._image.rotate_right.581.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.787547
No,safeds,No,safeds.data.image.containers._image.rotate_left.594.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-13 22:31:16.788552
No,safeds,No,safeds.data.image.containers._image.find_edges.607.4,9,8,5,3,0.8888888888888888,0.5555555555555556,Impure,Impure,2025-01-13 22:31:16.789563
No,safeds,No,safeds.data.tabular.containers._column._from_pandas_series.55.4,43,42,30,4,0.9767441860465116,0.6976744186046512,Impure,Impure,2025-01-13 22:31:16.789563
No,safeds,No,safeds.data.tabular.containers._column.__init__.89.4,87,86,60,6,0.9885057471264368,0.6896551724137931,Impure,Impure,2025-01-13 22:31:16.790594
No,safeds,No,safeds.data.tabular.containers._column.__contains__.113.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-13 22:31:16.791765
No,safeds,No,safeds.data.tabular.containers._column.__eq__.116.4,3,2,2,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-13 22:31:16.791765
No,safeds,No,safeds.data.tabular.containers._column.__getitem__.155.4,96,95,66,6,0.9895833333333334,0.6875,Impure,Impure,2025-01-13 22:31:16.792767
No,safeds,No,safeds.data.tabular.containers._column.__iter__.194.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-13 22:31:16.793866
No,safeds,No,safeds.data.tabular.containers._column.__len__.215.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-13 22:31:16.793866
No,safeds,No,safeds.data.tabular.containers._column.__repr__.233.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-13 22:31:16.794933
No,safeds,No,safeds.data.tabular.containers._column.__sizeof__.251.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-13 22:31:16.795963
No,safeds,No,safeds.data.tabular.containers._column.__str__.261.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-13 22:31:16.795963
No,safeds,No,safeds.data.tabular.containers._column.name.284.4,1,0,1,0,0.0,1.0,Impure,Pure,2025-01-13 22:31:16.796985
